Iteration,tanh_1_3,tanh_1_4,tanh_1_5,tanh_1_6,tanh_1_7,tanh_1_8,tanh_1_9,tanh_2_3,tanh_2_4,tanh_2_5,tanh_2_6,tanh_2_7,tanh_2_8,tanh_2_9,tanh_3_3,tanh_3_4,tanh_3_5,tanh_3_6,tanh_3_7,tanh_3_8,tanh_3_9,tanh_4_3,tanh_4_4,tanh_4_5,tanh_4_6,tanh_4_7,tanh_4_8,tanh_4_9,sigmoid_1_3,sigmoid_1_4,sigmoid_1_5,sigmoid_1_6,sigmoid_1_7,sigmoid_1_8,sigmoid_1_9,sigmoid_2_3,sigmoid_2_4,sigmoid_2_5,sigmoid_2_6,sigmoid_2_7,sigmoid_2_8,sigmoid_2_9,sigmoid_3_3,sigmoid_3_4,sigmoid_3_5,sigmoid_3_6,sigmoid_3_7,sigmoid_3_8,sigmoid_3_9,sigmoid_4_3,sigmoid_4_4,sigmoid_4_5,sigmoid_4_6,sigmoid_4_7,sigmoid_4_8,sigmoid_4_9,relu_1_3,relu_1_4,relu_1_5,relu_1_6,relu_1_7,relu_1_8,relu_1_9,relu_2_3,relu_2_4,relu_2_5,relu_2_6,relu_2_7,relu_2_8,relu_2_9,relu_3_3,relu_3_4,relu_3_5,relu_3_6,relu_3_7,relu_3_8,relu_3_9,relu_4_3,relu_4_4,relu_4_5,relu_4_6,relu_4_7,relu_4_8,relu_4_9
0,0.45179515846357327,0.47170668472342164,0.49725445735201396,0.4377436632352678,0.4168506045654386,0.6540384289281989,0.6567767983316207,0.4970007829355088,0.48893822143946547,0.6717494059151102,0.488622552893314,0.8855816441907557,0.7804330677348427,0.5429420744503728,0.7647685881384783,0.45892369652043263,0.5549661156519096,0.47844632132095855,0.8153380808895376,0.7285455453144783,0.5077116678222204,0.6271639005245189,0.5148267695971789,0.5902373990679619,0.6561269735546058,0.7141375104483545,0.7500924726464006,0.7163206160730562,0.6483927252327065,0.6674975817682433,0.6875040692930068,0.6111573577665734,0.5613690498764271,0.7387992204344046,0.706058971595098,0.6862878013462739,0.684781629328612,0.786203033518983,0.698104310590732,0.709608635981481,0.7085006378866675,0.7030762475590361,0.7817917461102281,0.738204498147931,0.6948868656575639,0.7068788682869134,0.7040887818124538,0.6977337612120758,0.6916339819880158,0.6980835061779658,0.6956150662072165,0.7274701229885091,0.7047539909190144,0.69424174659716,0.6952038519305266,0.694496133501378,0.5964561615678272,0.6099113369325229,1.6428665001404426,0.6172722245011362,0.42803535336676507,1.4058412964291465,1.2068046320567636,0.9108451771916305,0.5284337243249884,0.7461648357594862,0.5962204215913494,1.148147114551434,0.6833265639681163,0.6294449556653988,0.7594067727899183,0.6628709141006748,0.6160407289441809,0.6081654564451843,0.6456878585511874,0.6962644123983176,0.6456777900679781,0.8652422793409043,0.6800920933339273,0.6948449388029927,0.6052982591781112,0.667019735139466,0.6810897897476734,0.6978265275418843
1000,0.07744736893142891,0.071974181463892,0.06923807550794817,0.06763441696801765,0.072594444709357,0.06935876492754861,0.07974181756255788,0.31311640751721675,0.06929088525707268,0.07671030374060676,0.0652939564641218,0.07920151724367125,0.06682149987099996,0.061805701189740755,0.09391102461768881,0.06154689690588534,0.055218586356339756,0.0515523795727199,0.05738959820633971,0.06290870426242522,0.05178782677584744,0.06561959780281927,0.061870647621411104,0.07397380523848085,0.05028567817944771,0.08636247347962187,0.07155307622709037,0.07435619407600418,0.2905889331711903,0.22113398779257892,0.2583821169530039,0.2512048138995029,0.1927298080383838,0.2037838465798594,0.1869531835571091,0.25641936190344433,0.17461724867608072,0.28328957795831855,0.23484288892173996,0.1368841501318573,0.14426268102926762,0.14946953236043736,0.3093258696295451,0.1513252341102938,0.20781648918360504,0.300526039180976,0.17863157724819548,0.1357144464397106,0.21669093390158245,0.6927983979474681,0.31710111298774296,0.42171699332621876,0.31132483164325786,0.2833193802334104,0.3113791407218712,0.2974734511621653,0.7597562053448692,1.6489727186845118,0.44124810063882003,0.887621658206766,0.056774299026978094,1.1264814795127418,1.9722559432752074,1.3055684278147803,0.6902942100805187,0.7139759268775597,0.613654927089753,0.9960089439723752,0.8022361720782791,0.3132918078875072,0.7415033479231566,3.799143383509914,0.41557092271196705,0.5180630919061828,0.6965800114494537,0.1128943299809104,0.07241130762181508,0.7281974538070707,0.684336395986491,0.6933260807846214,0.7023016977302947,0.7401499481157261,1.2735806198597706,0.6976441986037335
2000,0.07715852968426519,0.06685145561353022,0.06430433043405961,0.057800692512855675,0.06644098758478875,0.06630803739192002,0.06749697891507073,0.3084146100731594,0.06413852457056589,0.0708036366281257,0.047015279579756424,0.05580223362534363,0.07290852913245775,0.051681098819983486,0.27386655704473345,0.06824391897465314,0.046374565310149364,0.034086527451693785,0.032912298142874566,0.06129593925117937,0.053410409156600815,0.0595385852365397,0.059191925714352854,0.07459878790536799,0.04411972314214142,0.08486024816843638,0.07812110254230575,0.07859988326981783,0.1825005467205996,0.1514388228414025,0.15540150505903202,0.15138789939406508,0.13679274459027307,0.13520612894428127,0.13294835907711913,0.10538164666731663,0.10190591848558692,0.10985518358076542,0.10666709808756847,0.09633374885092195,0.09701979675334636,0.09727467394618598,0.1001485045926106,0.08968871703025087,0.09305259914647823,0.10049034612031264,0.09280248150217149,0.0895642000685201,0.09378717406041112,0.32222825730707494,0.16057288729201813,0.11365637213380707,0.10555922855591067,0.10100825904369007,0.10901824413472634,0.10369227731656222,0.9208581001503441,3.263407483032196,0.4232068016673686,1.314831453147035,0.05381579359892391,1.0264862091801203,2.4323370741401837,1.115732290407313,0.6913014814428402,0.7123766849380627,0.632747526648365,0.8949963126285594,0.6742942917243786,0.29103889052365894,0.7310809379457263,9.9783370177247,0.32868702436532654,0.5228592389503574,0.7124806367786368,0.0854645380803557,0.09733043801299568,0.7099497439236804,0.6875245274902914,0.6932430199677667,0.7022217276922337,0.7270820604348417,1.0156310449958879,0.6969670375807396
3000,0.07730739727824378,0.06485917021862961,0.062404672500733886,0.05008275195840651,0.0625205518830705,0.06553714827318602,0.06342904284354986,0.3032024296251202,0.04622952710377463,0.0769706826518361,0.043590354472698566,0.05888665718516054,0.06868892875964025,0.05273791422147893,0.07101056912970914,0.06515038147409455,0.04099482991794378,0.030207074716807506,0.022446563689733908,0.05853514272749749,0.027283709610876603,0.0616164175475074,0.06421783074310455,0.07017622586200918,0.04466000822181188,0.08396348479965857,0.09658346301134275,0.11165301069283104,0.12983893593773732,0.12983816818232616,0.1285902675177257,0.11865445009917762,0.12174327877058211,0.11835943003203958,0.1188801946355641,0.08598040825660772,0.09104892183509546,0.09374934429023771,0.09204094712965626,0.0899661359747911,0.0894703446546886,0.09013052623788236,0.08302813068485314,0.08313049855696007,0.08457559269452414,0.08393749409476935,0.08415634273011122,0.08423587436831852,0.08475694002099202,0.20581450228514217,0.08786250937493204,0.09427329808087517,0.08664417790210971,0.08678777270581091,0.09018597424795097,0.08878205738850733,1.0086589997228115,3.344145049355347,0.41661184794630984,1.447685884825535,0.053097852743712225,0.9480429280853757,2.860245024971484,0.9805483345399343,0.6920267322026433,0.7116345618239,0.6505126967287587,0.8287317589164019,0.4139076665665144,0.2826079728795925,0.7249615216852436,7.034124520477028,0.3328551185536155,0.5426661528342301,0.72085482008023,0.09317870275639152,0.07963599334112768,0.700613152759503,0.6896764915655342,0.6931626580794387,0.7021530643906396,0.7189817235643449,0.8742065711801483,0.6965994976538713
4000,0.07731349144182235,0.06396914761165767,0.06119179828671856,0.04483702434969637,0.059849287547571385,0.06495981814262035,0.06312169156676266,0.2711965505601967,0.044564850262225654,0.08190516057197679,0.04029022168465897,0.06267665168499983,0.07240024977804999,0.05360774405995364,0.06672922494803328,0.06050387904150244,0.03961243339127557,0.02898918307888286,0.017804790087202968,0.05777867241009472,0.02765143056767468,0.061536475117701175,0.07036534793697767,0.0696704045737493,0.044899344651885664,0.08976987260072955,0.07295687816989133,0.0996309270999007,0.10528944987759835,0.1150308617358452,0.11261303059379046,0.10404132757158603,0.11517697984244003,0.10962365633633493,0.1129226628733782,0.08066859943366668,0.08625260815714883,0.09000956235747212,0.08720559533252362,0.08802105681721464,0.0865478224483879,0.08791887289947864,0.07918617772246718,0.08164983955271234,0.08373740814557061,0.08209470617611946,0.08296903849915938,0.08311817268741424,0.08333534619128001,0.08228631882909451,0.08207528438565584,0.08882053731680671,0.08408389071114092,0.08483801219446693,0.0862244567362303,0.08653638665447322,0.9938625810470164,3.1354892435000687,0.41815141633808856,1.7958528938686587,0.052780671669201355,0.8873131287880637,3.1356587244726746,0.8875525910108172,0.6925373106859896,0.7113547195662926,0.6657111682737654,0.7853355234673979,0.5136621441712126,0.2877125518990707,0.7213685882541259,5.043896354722922,0.33028676157448894,0.520080730219583,0.7222135898840899,0.08454486536864306,0.11593182808853322,0.6965380570014332,0.6910545727934168,0.6931040899088287,0.7020902611575118,0.7142330117216044,0.7972308929116918,0.6963758041297079
5000,0.07709066871560107,0.06351452281095503,0.06028124251262905,0.04225182988634121,0.058013063412909203,0.06405172338761186,0.061084268050263985,0.21734241721101877,0.043706971134721474,0.08136750520201216,0.03937359213813815,0.06518981636305023,0.07553068733476112,0.054145075620839166,0.06332341863270541,0.06031248493700291,0.03916854945511489,0.029055128995939043,0.017317429628117456,0.05617371972745462,0.020865787624963043,0.06772784589763658,0.07479494589947171,0.06876946937683732,0.04482421826989703,0.08776836283307249,0.09390821702441046,0.08667097923513445,0.09535259302988848,0.10557022072318198,0.10255730911658867,0.09680278194102433,0.11141560927693483,0.10258514087849893,0.10980454447375491,0.07865946295135733,0.08304470544959737,0.08866590993296743,0.08377420606544156,0.08719662506329605,0.08447685989760408,0.08694540287484034,0.07709870064932944,0.08041784365970266,0.08340289620796366,0.08146192085272605,0.08240834115573258,0.08246778717110431,0.0825955754069447,0.07879278943668987,0.07924968478313799,0.0881717869816083,0.08285028575122497,0.08393026901551158,0.08508798307549839,0.08547950292057173,1.0342847558267676,3.1239355381628484,0.4159891718270759,2.0158050253538167,0.05265547307371774,0.8415067193792518,2.330908970767481,0.8256319048893744,0.6928863009204547,0.7111861074109951,0.6780916892188555,0.7567060174980574,0.579045610680406,0.2188095662479771,0.7192442655651269,3.6682845190890236,0.3310136324747519,0.530744685929188,0.7204149016979846,0.09060544221146843,0.08236417813561453,0.694730867782802,0.6919109550502808,0.6930195908351386,0.70203604472134,0.7113979818341981,0.7546373444137993,0.6962257583624321
6000,0.0758457302951109,0.06326982587226306,0.059275957209240955,0.04070491131499976,0.05674551390374596,0.06284845687465541,0.05687499170253931,0.18846435175838774,0.043903519472981475,0.08193377618833311,0.035799071049365645,0.06713690087325348,0.07796669681808745,0.054420677137474165,0.12248369301227928,0.053571498621713294,0.03898868198156106,0.02854389381352624,0.01706658255583097,0.05316857778831621,0.018612853508012117,0.06524137440918423,0.07291468948521475,0.07849394635417928,0.05578375426850309,0.08087978941522661,0.10486812163348107,0.10051902947123546,0.09115848778063716,0.09943424952695167,0.0968186863712802,0.09281245269561877,0.10863682137292678,0.0968323715409438,0.10790538574781035,0.07773889721178252,0.08061611613535324,0.08803557816813656,0.08085612953212934,0.08676594892895968,0.08256500265457387,0.08641259374218688,0.07582434865661102,0.07902856300419701,0.08313383112194281,0.08111962449488586,0.08202758882882118,0.08200081754330979,0.08208198133607603,0.07705750847291012,0.07732723457118641,0.08780083129005474,0.08171584213983411,0.08318117030450436,0.08426735689596913,0.08465556023780942,1.0686682161359073,3.05924887984795,0.41143341547499185,2.1724955905331083,0.052482129935288654,0.8079568605499169,2.448444148969681,0.7851008540509659,0.6931073398730269,0.7110511697522433,0.6878848710227944,0.7375687238242364,0.6499307206477627,0.1812092416224476,0.7180978888891414,2.7203550560152188,0.332381824044296,0.5096222487716493,0.7191063969886161,0.08574613366633715,0.06989780198262188,0.6939887757365832,0.6924327799380384,0.6928452583216546,0.7019913163986203,0.7096485814230363,0.7305502379985158,0.6961088485125665
7000,0.07133430503964591,0.0631221416929138,0.05823937624527587,0.03944337897350792,0.055817111020326986,0.06123177816931947,0.05092156490285662,0.23721008798472118,0.04324992893785954,0.07975231061024679,0.04724196389201544,0.06864184672957312,0.07737757236350994,0.05451765852709732,0.05239864418316628,0.07972161110520475,0.038875677870600645,0.02861200151147696,0.016894645433647926,0.04990500894826208,0.017440052263707817,0.06401488076962022,0.0712008312732844,0.07677260282881858,0.04496691951794444,0.08227144546980063,0.08543525708379411,0.08128138620549684,0.08921449452290847,0.0954224078860764,0.09339870776460343,0.09045235077529767,0.10616998453720439,0.09267237037554414,0.10655910422763264,0.07726743128187863,0.07872481985387159,0.08766992949132782,0.07859037919137651,0.0865058370009666,0.08056913323717613,0.08607449481943352,0.07506670078399662,0.07744890295452768,0.08288152688759533,0.08088604696997626,0.08174104917591729,0.08163999522596548,0.08169462237302731,0.07591920241816633,0.0759272385407525,0.0874820542337555,0.08063707456199415,0.08249531184149815,0.08358846248670578,0.08398089779587585,1.0945425567362452,2.7185749750219457,0.41192371903677805,2.099417247315753,0.05241366036716905,0.7837288684136067,2.581515980164572,0.7589875703440906,0.6932280973423869,0.7109283312391755,0.6954920644304629,0.7245750028737287,0.7213636118102085,0.15962619779016865,0.7174848074830252,2.0706298213655545,0.33383913984598224,0.5128446828920202,0.7181590001173008,0.08888852366375014,0.06402979391209883,0.6937699667556588,0.6927459475487564,0.6927774881712379,0.7019553830004958,0.7085248219968888,0.7165823863574322,0.6960113840813122
8000,0.07087237587965127,0.06300382728757026,0.057713161205850155,0.03827157033670113,0.054507664772012764,0.059362978634262036,0.04870140661962541,0.13383773556178943,0.043779656923733895,0.07906228323303062,0.06935032986600019,0.06977768899994807,0.07663202756953132,0.05448650873773374,0.06599499561728474,0.053949090115728744,0.03878552642573589,0.03201538478542969,0.016787851832254914,0.04908546539307194,0.016603287740402227,0.1273648765990603,0.07911088079798116,0.07566568700731295,0.05182703887074496,0.07610702167737947,0.0764417126211967,0.1119945287442043,0.0882344469984498,0.0928127652381774,0.09127404128735776,0.0889675698206939,0.10386210297629729,0.08977384703335246,0.10543533230300649,0.0770063786874934,0.07725937390937404,0.08740664716660965,0.0766693133311624,0.08633197664743734,0.07844483922804407,0.08583695415021989,0.07462397202928726,0.07571308961327736,0.08262616888077748,0.0806965560871501,0.08151243728499914,0.0813486603952489,0.08138860268350126,0.07517236065015989,0.0746413409830826,0.08717092765971789,0.0796072966064361,0.08183106584461855,0.0829907438256302,0.08340865377349096,1.0373064693527403,2.2194436648660365,0.41780358872287265,2.1326450109750605,0.052366811681514705,0.7664318883360904,2.734577522726655,0.7423451215038926,0.6932784395470611,0.7108031291351037,0.701327047719064,0.7156129978904441,0.7341567556692769,0.3008148859938722,0.7172043469726791,1.6280283372891597,0.3334323943747385,0.5019400040106397,0.717461213727034,0.13137234256838012,0.14373324955051478,0.6938067797275517,0.6929312124617784,0.6929186927592792,0.7019251115646346,0.7077610006584267,0.7082880924072741,0.6959277414912974
